published,title,status,words,folder,url
2023-03-23,coming-soon,no essay,,,https://steelforfuel.substack.com/p/coming-soon
2023-03-31,"The ten biggest questions in energy & climate tech, Question 1",saved,2352,2023-03-31-the-ten-biggest-questions-in-energy-climate-tech-question-1,https://steelforfuel.substack.com/p/the-ten-biggest-questions-in-energy
2023-03-31,When will we get serious about nuclear? (or something 'nuclear-esque'?),saved,2197,2023-03-31-when-will-we-get-serious-about-nuclear-or-something-nuclear-esque,https://steelforfuel.substack.com/p/when-will-we-get-serious-about-nuclear
2023-04-25,Will the EV supply chain hold?,saved,3123,2023-04-25-will-the-ev-supply-chain-hold,https://steelforfuel.substack.com/p/will-the-ev-supply-chain-hold
2023-05-08,Four ways to store sunlight,saved,6669,2023-05-08-four-ways-to-store-sunlight,https://steelforfuel.substack.com/p/four-ways-to-store-sunlight
2023-05-30,A Tale of Two Nanettes,saved,3109,2023-05-30-a-tale-of-two-nanettes,https://steelforfuel.substack.com/p/a-tale-of-two-nanettes
2023-06-27,Can wind turbines self-replicate? (And how will we make beer?),saved,3322,2023-06-27-can-wind-turbines-self-replicate-and-how-will-we-make-beer,https://steelforfuel.substack.com/p/can-wind-turbines-self-replicate
2023-07-06,Is natural gas a \,saved,2979,2023-07-06-is-natural-gas-a-bridge-fuel-a-dead-end-or-something-else,https://steelforfuel.substack.com/p/is-natural-gas-a-bridge-fuel-a-dead
2023-07-06,Some \,saved,2365,2023-07-06-some-complete-bullshit-about-ai-and-energy,https://steelforfuel.substack.com/p/some-total-bullshit-about-ai-and
2023-08-23,How will we keep warm in the winter?,saved,6400,2023-08-23-how-will-we-keep-warm-in-the-winter,https://steelforfuel.substack.com/p/how-will-we-keep-warm-in-the-winter
2023-10-01,What will we do with all the clean hydrogen?,saved,6461,2023-10-01-what-will-we-do-with-all-the-clean-hydrogen,https://steelforfuel.substack.com/p/what-will-we-do-with-all-the-clean
2023-10-23,"Adolescence for renewables, retirement for oil",saved,3203,2023-10-23-adolescence-for-renewables-retirement-for-oil,https://steelforfuel.substack.com/p/adolescence-for-renewables-retirement
2023-12-21,What's the best use for our 'waste' biomass?,saved,5889,2023-12-21-what-s-the-best-use-for-our-waste-biomass,https://steelforfuel.substack.com/p/whats-the-best-use-for-our-waste
2024-02-27,The electricity gauntlet,saved,3563,2024-02-27-the-electricity-gauntlet,https://steelforfuel.substack.com/p/the-electricity-gauntlet
2024-04-03,"How will we move the big, heavy things?",saved,4871,2024-04-03-how-will-we-move-the-big-heavy-things,https://steelforfuel.substack.com/p/how-will-we-move-the-big-heavy-things
2024-07-12,Will CCS make a lot of these other questions moot?,saved,5741,2024-07-12-will-ccs-make-a-lot-of-these-other-questions-moot,https://steelforfuel.substack.com/p/will-ccs-make-a-lot-of-these-other
2024-07-26,AI versus computing efficiency,saved,360,2024-07-26-ai-versus-computing-efficiency,https://steelforfuel.substack.com/p/ai-versus-computing-efficiency
2024-08-01,Locals Against Renewables,saved,349,2024-08-01-locals-against-renewables,https://steelforfuel.substack.com/p/locals-against-renewables
2024-08-07,Batteries all the way down,saved,410,2024-08-07-batteries-all-the-way-down,https://steelforfuel.substack.com/p/batteries-all-the-way-down
2024-08-19,Direct Air Capture and (machine) learning curves,saved,451,2024-08-19-direct-air-capture-and-machine-learning-curves,https://steelforfuel.substack.com/p/direct-air-capture-and-machine-learning
2024-08-30,HVAC: the next frontier,saved,663,2024-08-30-hvac-the-next-frontier,https://steelforfuel.substack.com/p/hvac-the-next-frontier
2024-09-04,Where have all the transmission lines gone?,saved,643,2024-09-04-where-have-all-the-transmission-lines-gone,https://steelforfuel.substack.com/p/where-have-all-the-transmission-lines
2024-09-24,"A chicken in every pot, a battery in every garage?",saved,459,2024-09-24-a-chicken-in-every-pot-a-battery-in-every-garage,https://steelforfuel.substack.com/p/a-chicken-in-every-pot-a-battery
2024-10-02,The end of the beginning for \,saved,1110,2024-10-02-the-end-of-the-beginning-for-climate-tech,https://steelforfuel.substack.com/p/the-end-of-the-beginning-for-climate
2024-10-03,The Age of FFOAK and The Better Mousetrap Fallacy,saved,2886,2024-10-03-the-age-of-ffoak-and-the-better-mousetrap-fallacy,https://steelforfuel.substack.com/p/the-age-of-ffoak-and-the-better-mousetrap
