published,title,status,words,folder,url
2022-11-17,Fixing cement’s carbon problem,saved,6361,2022-11-17-fixing-cement-s-carbon-problem,https://www.latitudemedia.com/news/catalyst-fixing-cements-carbon-problem/
2022-12-08,Solving the conundrum of industrial heat,saved,6606,2022-12-08-solving-the-conundrum-of-industrial-heat,https://www.latitudemedia.com/news/catalyst-solving-the-conundrum-of-industrial-heat/
2023-08-10,Beaming 24/7 solar from space,saved,7020,2023-08-10-beaming-24-7-solar-from-space,https://www.latitudemedia.com/news/catalyst-beaming-24-7-solar-from-space/
2023-10-05,Climatetech startups need strong techno-economic analysis,saved,8207,2023-10-05-climatetech-startups-need-strong-techno-economic-analysis,https://www.latitudemedia.com/news/catalyst-climatetech-startups-need-strong-techno-economic-analysis/
2023-10-12,How has US industrial policy impacted climatetech investment?,saved,7744,2023-10-12-how-has-us-industrial-policy-impacted-climatetech-investment,https://www.latitudemedia.com/news/catalyst-how-has-us-industrial-policy-impacted-climatetech-investment/
2023-10-27,The market for microgrids,saved,7572,2023-10-27-the-market-for-microgrids,https://www.latitudemedia.com/news/catalyst-the-market-for-microgrids/
2023-11-03,catalyst-the-volts-crossover-episode,no transcript,,,https://www.latitudemedia.com/news/catalyst-the-volts-crossover-episode/
2023-11-09,catalyst-mailbag-episode-interest-rates-carbon-dioxide-removal-load-growth-and-more,no transcript,,,https://www.latitudemedia.com/news/catalyst-mailbag-episode-interest-rates-carbon-dioxide-removal-load-growth-and-more/
2023-11-16,The cost of nuclear,saved,7281,2023-11-16-the-cost-of-nuclear,https://www.latitudemedia.com/news/catalyst-the-cost-of-nuclear/
2023-11-30,EV charging on both sides of the pond,saved,6568,2023-11-30-ev-charging-on-both-sides-of-the-pond,https://www.latitudemedia.com/news/catalyst-ev-charging-on-both-sides-of-the-pond/
2023-12-07,Update: What the new Treasury rules mean for EV supply chains,saved,6529,2023-12-07-update-what-the-new-treasury-rules-mean-for-ev-supply-chains,https://www.latitudemedia.com/news/catalyst-update-what-the-new-treasury-rules-mean-for-ev-supply-chains/
2023-12-14,What do you do with a 100-hour battery?,saved,7955,2023-12-14-what-do-you-do-with-a-100-hour-battery,https://www.latitudemedia.com/news/catalyst-what-do-you-do-with-a-100-hour-battery/
2023-12-21,Financing first-of-a-kind climate assets,saved,7311,2023-12-21-financing-first-of-a-kind-climate-assets,https://www.latitudemedia.com/news/catalyst-financing-first-of-a-kind-climate-assets/
2024-01-04,catalyst-fixing-the-messy-voluntary-carbon-market,no transcript,,,https://www.latitudemedia.com/news/catalyst-fixing-the-messy-voluntary-carbon-market/
2024-01-11,2023 climate tech venture investment trends,saved,6911,2024-01-11-2023-climate-tech-venture-investment-trends,https://www.latitudemedia.com/news/catalyst-2023-climate-tech-venture-investment-trends/
2024-01-23,The pitfalls of sourcing biomass for carbon removal,saved,7725,2024-01-23-the-pitfalls-of-sourcing-biomass-for-carbon-removal,https://www.latitudemedia.com/news/catalyst-fuzzy-math-and-food-competition-the-pitfalls-of-removing-biomass-for-carbon-removal/
2024-01-29,Tech solutions for solving the cow burp problem,saved,6190,2024-01-29-tech-solutions-for-solving-the-cow-burp-problem,https://www.latitudemedia.com/news/catalyst-mitigating-enteric-methane-tech-solutions-for-solving-the-cow-burp-problem/
2024-02-01,What’s really happening in the US EV market?,saved,6190,2024-02-01-what-s-really-happening-in-the-us-ev-market,https://www.latitudemedia.com/news/catalyst-whats-really-happening-in-the-u-s-ev-market/
2024-02-13,"2024 trends: batteries, tax credits, and the cost of capital",saved,8255,2024-02-13-2024-trends-batteries-tax-credits-and-the-cost-of-capital,https://www.latitudemedia.com/news/catalyst-2024-trends-batteries-transferable-tax-credits-and-the-cost-of-capital/
2024-02-26,Understanding the electric transformer shortage,saved,5496,2024-02-26-understanding-the-electric-transformer-shortage,https://www.latitudemedia.com/news/catalyst-understanding-the-electric-transformer-shortage/
2024-03-06,Shopify’s head of sustainability on the realities of carbon removal,saved,6979,2024-03-06-shopify-s-head-of-sustainability-on-the-realities-of-carbon-removal,https://www.latitudemedia.com/news/catalyst-shopifys-head-of-sustainability-on-carbon-removal/
2024-03-08,Will AI deliver the promise of a digital grid?,saved,5603,2024-03-08-will-ai-deliver-the-promise-of-a-digital-grid,https://www.latitudemedia.com/news/catalyst-promises-of-a-digital-grid-havent-fully-delivered-will-ai-change-that/
2024-03-14,Climate tech’s tough year in the public markets,saved,7749,2024-03-14-climate-tech-s-tough-year-in-the-public-markets,https://www.latitudemedia.com/news/catalyst-climate-techs-tough-year-in-the-public-markets/
2024-03-28,The electricity gauntlet has arrived,saved,7569,2024-03-28-the-electricity-gauntlet-has-arrived,https://www.latitudemedia.com/news/catalyst-the-electricity-gauntlet-has-arrived/
2024-04-04,Understanding the growing world of battery recycling,saved,5506,2024-04-04-understanding-the-growing-world-of-battery-recycling,https://www.latitudemedia.com/news/catalyst-understanding-the-growing-world-of-battery-recycling/
2024-04-11,catalyst-the-big-switch-are-batteries-the-new-oil,no transcript,,,https://www.latitudemedia.com/news/catalyst-the-big-switch-are-batteries-the-new-oil/
2024-04-26,Building a supply chain for rare earth elements,saved,5622,2024-04-26-building-a-supply-chain-for-rare-earth-elements,https://www.latitudemedia.com/news/catalyst-building-a-supply-chain-for-rare-earth-elements/
2024-05-02,CO2 utilization,saved,7890,2024-05-02-co2-utilization,https://www.latitudemedia.com/news/catalyst-co2-utilization/
2024-05-30,Heavy duty decarbonization,saved,6074,2024-05-30-heavy-duty-decarbonization,https://www.latitudemedia.com/news/catalyst-heavy-duty-decarbonization/
2024-06-06,catalyst-drew-baglino-on-teslas-master-plan,no transcript,,,https://www.latitudemedia.com/news/catalyst-drew-baglino-on-teslas-master-plan/
2024-06-13,Under the hood of data center power demand,saved,7257,2024-06-13-under-the-hood-of-data-center-power-demand,https://www.latitudemedia.com/news/catalyst-under-the-hood-of-data-center-power-demand/
2024-06-20,Demystifying the Chinese EV market,saved,5638,2024-06-20-demystifying-the-chinese-ev-market,https://www.latitudemedia.com/news/catalyst-demystifying-the-chinese-ev-market/
2024-06-27,Going deep on next-gen geothermal,saved,5204,2024-06-27-going-deep-on-next-gen-geothermal,https://www.latitudemedia.com/news/catalyst-going-deep-on-next-gen-geothermal/
2024-07-12,Decarbonizing the high seas,saved,6619,2024-07-12-decarbonizing-the-high-seas,https://www.latitudemedia.com/news/catalyst-decarbonizing-the-high-seas/
2024-07-18,catalyst-can-chip-efficiency-slow-ais-energy-demand,no transcript,,,https://www.latitudemedia.com/news/catalyst-can-chip-efficiency-slow-ais-energy-demand/
2024-07-26,catalyst-the-ev-markets-awkward-teenage-years,no transcript,,,https://www.latitudemedia.com/news/catalyst-the-ev-markets-awkward-teenage-years/
2024-08-02,catalyst-pathways-to-decarbonizing-steel,no transcript,,,https://www.latitudemedia.com/news/catalyst-pathways-to-decarbonizing-steel/
2024-08-09,Understanding the transmission bottleneck,saved,6162,2024-08-09-understanding-the-transmission-bottleneck,https://www.latitudemedia.com/news/catalyst-understanding-the-transmission-bottleneck/
2024-08-13,catalyst-frontier-forum-is-americas-green-bank-ready,no transcript,,,https://www.latitudemedia.com/news/catalyst-frontier-forum-is-americas-green-bank-ready/
2024-08-15,The cost of nuclear,saved,7252,2024-08-15-the-cost-of-nuclear,https://www.latitudemedia.com/news/catalyst-the-cost-of-nuclear-2/
2024-08-23,Hunting for geologic hydrogen,saved,7832,2024-08-23-hunting-for-geologic-hydrogen,https://www.latitudemedia.com/news/catalyst-hunting-for-geologic-hydrogen/
2024-08-29,Why are we still flaring gas?,saved,4697,2024-08-29-why-are-we-still-flaring-gas,https://www.latitudemedia.com/news/catalyst-why-are-we-still-flaring-gas/
2024-09-05,The rise of climate adaptation tech,saved,6242,2024-09-05-the-rise-of-climate-adaptation-tech,https://www.latitudemedia.com/news/catalyst-the-rise-of-climate-adaptation-tech/
2024-09-12,The better mousetrap fallacy,saved,7001,2024-09-12-the-better-mousetrap-fallacy,https://www.latitudemedia.com/news/catalyst-the-better-mousetrap-fallacy/
2024-09-19,Can AI revolutionize materials discovery?,saved,5949,2024-09-19-can-ai-revolutionize-materials-discovery,https://www.latitudemedia.com/news/catalyst-can-ai-revolutionize-materials-discovery/
2024-09-24,catalyst-the-state-of-connected-ders-partner-content,no transcript,,,https://www.latitudemedia.com/news/catalyst-the-state-of-connected-ders-partner-content/
2024-10-03,DAC’s bumpy road to commercial scale,saved,6395,2024-10-03-dac-s-bumpy-road-to-commercial-scale,https://www.latitudemedia.com/news/catalyst-dacs-bumpy-road-to-commercial-scale/
2024-10-08,catalyst-giving-tribes-a-stake-in-the-critical-minerals-boom,no transcript,,,https://www.latitudemedia.com/news/catalyst-giving-tribes-a-stake-in-the-critical-minerals-boom/
2024-10-10,Unpacking China’s cheap battery costs,saved,7092,2024-10-10-unpacking-china-s-cheap-battery-costs,https://www.latitudemedia.com/news/catalyst-unpacking-chinas-cheap-battery-costs/
2024-10-17,catalyst-the-complex-path-to-market-for-low-carbon-cement,no transcript,,,https://www.latitudemedia.com/news/catalyst-the-complex-path-to-market-for-low-carbon-cement/
2024-10-22,Inside Crusoe's energy-first approach to data centers,saved,3625,2024-10-22-inside-crusoe-s-energy-first-approach-to-data-centers,https://www.latitudemedia.com/news/catalyst-inside-crusoes-energy-first-approach-to-data-centers/
2024-10-24,catalyst-the-unexplored-frontier-of-methane-removal,no transcript,,,https://www.latitudemedia.com/news/catalyst-the-unexplored-frontier-of-methane-removal/
2024-10-31,catalyst-why-climate-tech-startups-get-this-one-thing-wrong,no transcript,,,https://www.latitudemedia.com/news/catalyst-why-climate-tech-startups-get-this-one-thing-wrong/
2024-11-07,catalyst-fixing-the-refrigerant-problem,no transcript,,,https://www.latitudemedia.com/news/catalyst-fixing-the-refrigerant-problem/
2024-11-14,catalyst-getting-heat-pumps-right,no transcript,,,https://www.latitudemedia.com/news/catalyst-getting-heat-pumps-right/
2024-11-21,TEA breakdown: green ammonia and synthetic methane,saved,6207,2024-11-21-tea-breakdown-green-ammonia-and-synthetic-methane,https://www.latitudemedia.com/news/catalyst-tea-breakdown-green-ammonia-and-synthetic-methane/
2024-12-02,From biowaste to 'biogold',saved,6836,2024-12-02-from-biowaste-to-biogold,https://www.latitudemedia.com/news/catalyst-from-biowaste-to-biogold/
2024-12-02,catalyst-frontier-forum-why-utilities-should-go-big-on-vpps,no transcript,,,https://www.latitudemedia.com/news/catalyst-frontier-forum-why-utilities-should-go-big-on-vpps/
2024-12-05,Explaining the ‘Watt-Bit Spread’,saved,6688,2024-12-05-explaining-the-watt-bit-spread,https://www.latitudemedia.com/news/catalyst-explaining-the-watt-bit-spread/
2024-12-10,catalyst-how-cyber-attacks-could-threaten-the-energy-transition,no transcript,,,https://www.latitudemedia.com/news/catalyst-how-cyber-attacks-could-threaten-the-energy-transition/
2024-12-12,What happened at Northvolt?,saved,5037,2024-12-12-what-happened-at-northvolt,https://www.latitudemedia.com/news/catalyst-what-happened-at-northvolt/
2024-12-19,Scaling low-carbon products with book and claim systems,saved,5237,2024-12-19-scaling-low-carbon-products-with-book-and-claim-systems,https://www.latitudemedia.com/news/catalyst-scaling-low-carbon-products-with-book-and-claim-systems/
2025-01-06,Lithium’s wild ride,saved,6466,2025-01-06-lithium-s-wild-ride,https://www.latitudemedia.com/news/catalyst-lithiums-wild-ride/
2025-01-09,Making DERs work for load growth,saved,6245,2025-01-09-making-ders-work-for-load-growth,https://www.latitudemedia.com/news/catalyst-making-ders-work-for-load-growth/
2025-01-16,FOAK tales,saved,9057,2025-01-16-foak-tales,https://www.latitudemedia.com/news/catalyst-foak-tales/
2025-01-23,The climate-ag grab bag,saved,5626,2025-01-23-the-climate-ag-grab-bag,https://www.latitudemedia.com/news/catalyst-climate-ag-grab-bag/
