published,title,status,words,folder,url
2026-04-12,introducing-critical-capital,no transcript,,,https://www.crux.com/critical-capital/introducing-critical-capital
2026-04-28,"Atoms, bits, and the trillion-dollar manufacturing race",saved,7133,2026-04-28-atoms-bits-and-the-trillion-dollar-manufacturing-race,https://www.crux.com/critical-capital/physical-ai-aidan-madigan-curtis
2026-05-07,Can US industrial trade policy stay on course?,saved,6648,2026-05-07-can-us-industrial-trade-policy-stay-on-course,https://www.crux.com/critical-capital/can-u-s-industrial-trade-policy-stay-on-course
2026-05-26,The clean energy transition has a hardware problem,saved,6073,2026-05-26-the-clean-energy-transition-has-a-hardware-problem,https://www.crux.com/critical-capital/the-clean-energy-transition-has-a-hardware-problem
2026-06-09,The US-China rivalry runs through energy and minerals,saved,5275,2026-06-09-the-us-china-rivalry-runs-through-energy-and-minerals,https://www.crux.com/critical-capital/the-us-china-rivalry-runs-through-energy-and-minerals
2026-06-23,The trillion-dollar collision between AI and the grid,saved,6265,2026-06-23-the-trillion-dollar-collision-between-ai-and-the-grid,https://www.crux.com/critical-capital/the-trillion-dollar-collision-between-ai-and-the-grid
2026-07-07,Navigating the new world disorder,saved,5536,2026-07-07-navigating-the-new-world-disorder,https://www.crux.com/critical-capital/navigating-the-new-world-disorder
2026-07-21,The unprecedented opportunity for infrastructure investors,saved,5622,2026-07-21-the-unprecedented-opportunity-for-infrastructure-investors,https://www.crux.com/critical-capital/the-unprecedented-opportunity-for-infrastructure-investors
2026-08-04,"Thom Tillis on energy, China, and leaving the Senate",saved,5495,2026-08-04-thom-tillis-on-energy-china-and-leaving-the-senate,https://www.crux.com/critical-capital/thom-tillis-on-energy-china-and-leaving-the-senate
2026-08-18,AI is disrupting services. What does that mean for power demand?,saved,6727,2026-08-18-ai-is-disrupting-services-what-does-that-mean-for-power-demand,https://www.crux.com/critical-capital/ai-is-disrupting-services-what-does-that-mean-for-power-demand
2026-09-01,What it takes to build in America again,saved,5622,2026-09-01-what-it-takes-to-build-in-america-again,https://www.crux.com/critical-capital/what-is-takes-to-build-in-america-again
2026-09-15,What it costs to make power cheap,saved,7378,2026-09-15-what-it-costs-to-make-power-cheap,https://www.crux.com/critical-capital/what-it-costs-to-make-power-cheap
